symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
QQQ,A24_skip_momentum_72_6,trend,False,-0.04490759366010598,0.16666666666666666,0.3096618840782105,0.23650599040573853,0.01067186032325208,0.8556851563300538,2433,251,False,False,True,True,True,True,True
QQQ,A24_skip_momentum_120_6,trend,False,-0.046879654194248714,0.3333333333333333,0.38915843023674845,0.20547865579583047,0.004248912718182052,1.1494728558359495,2385,251,False,False,True,True,True,True,True
QQQ,A24_skip_momentum_168_6,trend,False,-0.032382513448682954,0.16666666666666666,0.32187694054994703,0.1919265517463489,0.003779218097586755,1.3180414734834265,2337,251,False,False,True,True,True,True,True
QQQ,A25_sign_tsmom_24,trend,False,-0.0225831619309003,0.3333333333333333,0.4333497210734024,0.20597247513013844,0.018460223510030953,1.0169083865769124,2487,251,False,False,True,True,True,True,True
QQQ,A25_sign_tsmom_72,trend,False,-0.0258716118460697,0.16666666666666666,0.3198214848631843,0.2110131410764762,0.00955735071625852,1.1238592233740903,2439,251,False,False,True,True,True,True,True
QQQ,A25_sign_tsmom_168,trend,False,-0.056066232167439646,0.16666666666666666,0.31757944902126706,0.24585473889381115,0.004682050089774124,1.3537852267726453,2343,251,False,False,True,True,True,True,True
QQQ,A02_ema_distance_20,trend,False,-0.026240595188454972,0.0,0.48252530976373126,0.3319356156761365,0.05537173685611214,0.14305087165101482,2492,251,False,False,True,True,True,True,True
QQQ,A02_ema_distance_50,trend,False,-0.03437427253205984,0.0,0.3636630023056081,0.23364484488705428,0.028720943594631346,0.49253940599525364,2462,251,False,False,True,True,True,True,True
QQQ,A02_ema_distance_100,trend,False,-0.049143795069827856,0.16666666666666666,0.30211175338807716,0.20922441196301383,0.015578234057613913,0.7091998740771694,2412,251,False,False,True,True,True,True,True
QQQ,A03_donchian_breakout_20,trend,False,-0.02694348876582061,0.16666666666666666,1.0,0.5228178794488024,0.3381544846687124,-0.15405232738754462,2512,251,False,False,False,True,True,True,True
QQQ,A08_trend_quality,trend,False,-0.010047572609852123,0.16666666666666666,0.4973403720924808,0.45166266987385845,0.034361230117156936,0.023011383410714615,2452,251,False,False,True,True,True,True,True
QQQ,A09_efficiency_ratio_20,trend,False,-0.025113581911900634,0.3333333333333333,0.35164865441487936,0.22206604217946244,0.046528125372026094,0.19632148940530805,2491,251,False,False,True,True,True,True,True
QQQ,A04_short_reversion_1,mean_reversion,True,0.05411803072696456,1.0,0.4380842526108775,0.5676505276172752,0.16083117550082596,-0.04266627440459236,2411,251,True,True,True,True,True,True,True
QQQ,A04_short_reversion_2,mean_reversion,False,0.028139245787766567,0.8333333333333334,0.6327469458437674,0.3378874151784734,0.10766725104068517,0.13442600408713193,2410,251,True,True,False,True,True,True,True
QQQ,A04_short_reversion_3,mean_reversion,True,0.07058677700848967,0.6666666666666666,0.42129491978623945,0.2847444907246549,0.08387769611245069,0.12430242968506926,2409,251,True,True,True,True,True,True,True
QQQ,A04_short_reversion_6,mean_reversion,True,0.05506818848383867,0.8333333333333334,0.3064021109737075,0.22940304086809346,0.056667117667632945,0.14557717701967224,2406,251,True,True,True,True,True,True,True
QQQ,A05_bollinger_reversion_20,mean_reversion,True,0.03830718260545678,0.8333333333333334,0.3354503580077484,0.25204532657901185,0.048593975360090795,0.3392795113583348,2492,251,True,True,True,True,True,True,True
QQQ,A06_rsi_reversion_14,mean_reversion,True,0.02767001625168812,1.0,0.3278711166761774,0.20655718393863928,0.04723208035551178,0.41711394845708244,2497,251,True,True,True,True,True,True,True
QQQ,A17_mean_reversion_ensemble,mean_reversion,True,0.04490866506032688,0.8333333333333334,0.4322867692261708,0.30411870965240545,0.08483166361592857,0.26731680807266006,2497,251,True,True,True,True,True,True,True
QQQ,A07_volatility_compression,regime,False,-0.023392906643243196,0.3333333333333333,0.324501116968883,0.2948587846866634,0.02042220464153806,0.43927263274630457,2411,251,False,False,True,True,True,True,True
QQQ,A07_atr_percentile,regime,False,0.006881837264643733,0.5,0.3850673866143829,0.22734396475711593,0.009504973144687298,0.31923306474914304,2249,251,True,False,True,True,True,True,True
QQQ,A15_volatility_adjusted_breakout_20,trend,False,-0.0219755276087722,0.3333333333333333,1.0,1.0,0.32956516300670974,-0.10251491845961741,2312,251,False,False,False,False,True,True,True
QQQ,A10_volume_surprise_48,trend,False,-0.021472339220036964,0.3333333333333333,0.8932794702462417,0.6360424764241942,0.18718393341411702,-0.3973912013549832,2464,251,False,False,False,False,True,True,True
QQQ,A11_signed_volume_pressure_6,trend,False,-0.07107548988765923,0.16666666666666666,0.8829281691430377,0.6150977575347841,0.08151726428026333,-0.13431637632571833,2506,251,False,False,False,False,True,True,True
